id,host_id,price,neighbourhood,room_type,number_of_reviews,property_type,accommodates,bedrooms,bathrooms,price_raw,price_outlier_iqr
13188,51466,138.0,Riley Park,Entire home/apt,381,Entire guest suite,4,0.0,1.0,$138.00,False
18270,70437,47.0,Mount Pleasant,Private room,118,Private room in condo,2,1.0,1.0,$47.00,False
18589,71508,140.0,Grandview-Woodland,Private room,632,Private room in home,2,1.0,1.0,$140.00,False
18795,70137,75.0,West End,Private room,131,Private room in home,2,1.0,1.0,$75.00,False
20085,75986,136.0,Kensington-Cedar Cottage,Entire home/apt,80,Entire guest suite,3,2.0,1.0,$136.00,False
24273,1267409,171.0,Kitsilano,Entire home/apt,17,Entire rental unit,6,2.0,1.0,$171.00,False
26047,109845,234.0,Downtown,Entire home/apt,49,Entire condo,2,1.0,1.0,$234.00,False
33150,143724,155.0,Riley Park,Entire home/apt,176,Entire rental unit,3,1.0,1.0,$155.00,False
35102,2283739,110.0,Downtown,Entire home/apt,78,Entire condo,4,2.0,2.0,$110.00,False
35304,151996,137.0,Grandview-Woodland,Entire home/apt,656,Entire home,2,1.0,1.0,$137.00,False
42645,109845,170.0,Downtown,Entire home/apt,35,Entire condo,3,1.0,1.0,$170.00,False
73841,386761,120.0,Downtown,Entire home/apt,29,Entire condo,4,1.0,1.0,$120.00,False
77157,412802,192.0,Arbutus Ridge,Entire home/apt,871,Entire guest suite,5,1.0,1.0,$192.00,False
139705,516733,50.0,Hastings-Sunrise,Private room,0,Private room in home,1,1.0,1.0,$50.00,False
140698,69640,120.0,Mount Pleasant,Private room,208,Private room in home,2,1.0,1.0,$120.00,False
248014,1299977,100.0,Grandview-Woodland,Entire home/apt,1,Entire home,3,2.0,1.0,$100.00,False
256178,1267409,171.0,Kitsilano,Entire home/apt,24,Entire home,7,2.0,1.0,$171.00,False
322824,1652613,150.0,Downtown,Entire home/apt,157,Entire condo,2,1.0,1.0,$150.00,False
359942,1200456,265.0,Downtown,Private room,46,Private room in rental unit,2,2.0,1.0,$265.00,False
436032,2165986,249.0,Downtown Eastside,Entire home/apt,218,Entire loft,4,2.0,1.0,$249.00,False
461386,1200456,226.0,Killarney,Private room,54,Private room in home,2,1.0,1.0,$226.00,False
464172,2189535,216.0,Hastings-Sunrise,Entire home/apt,45,Entire home,4,2.0,1.0,$216.00,False
475296,2356016,414.0,Downtown Eastside,Entire home/apt,255,Entire loft,2,1.0,1.5,$414.00,False
496298,2451689,119.0,Downtown,Entire home/apt,171,Entire rental unit,3,1.0,1.0,$119.00,False
498112,2459577,550.0,Kensington-Cedar Cottage,Entire home/apt,48,Entire home,8,4.0,2.0,$550.00,True
507767,2502595,186.0,Downtown,Entire home/apt,7,Entire serviced apartment,4,1.0,1.0,$186.00,False
540348,2655554,440.0,Kensington-Cedar Cottage,Entire home/apt,138,Entire home,6,3.0,1.0,$440.00,True
557357,525761,80.0,Grandview-Woodland,Entire home/apt,193,Entire home,2,1.0,1.0,$80.00,False
622217,3084195,724.0,Downtown,Entire home/apt,71,Entire condo,6,3.0,2.0,$724.00,True
625396,3102862,280.0,Kitsilano,Entire home/apt,247,Entire home,2,1.0,1.0,$280.00,False
654744,2796859,190.0,West End,Entire home/apt,77,Entire rental unit,4,2.0,2.0,$190.00,False
654763,2459577,55.0,Kensington-Cedar Cottage,Entire home/apt,22,Entire guest suite,1,1.0,1.0,$55.00,False
703179,3246254,117.0,Downtown,Entire home/apt,188,Entire condo,2,1.0,1.0,$117.00,False
713271,3671073,135.0,West End,Entire home/apt,100,Entire rental unit,2,1.0,1.0,$135.00,False
731219,3804851,175.0,Kitsilano,Entire home/apt,14,Entire guesthouse,2,1.0,1.0,$175.00,False
771366,2502595,183.0,Downtown,Entire home/apt,13,Entire serviced apartment,2,0.0,1.0,$183.00,False
771380,2502595,270.0,Downtown,Entire home/apt,15,Entire serviced apartment,6,2.0,2.0,$270.00,False
784153,3211112,140.0,Kitsilano,Entire home/apt,65,Entire guest suite,2,1.0,1.0,$140.00,False
785297,3211112,121.0,Kitsilano,Private room,96,Private room in home,2,1.0,1.0,$121.00,False
801222,4217281,84.0,Fairview,Entire home/apt,26,Entire guest suite,2,1.0,1.0,$84.00,False
875309,4621004,375.0,Kitsilano,Entire home/apt,38,Entire home,5,2.0,1.5,$375.00,False
880390,4655969,112.0,Kensington-Cedar Cottage,Private room,10,Private room in home,2,1.0,1.0,$112.00,False
885600,4693732,135.0,Dunbar Southlands,Entire home/apt,338,Entire guest suite,2,1.0,1.0,$135.00,False
958090,1200456,468.0,Downtown,Entire home/apt,10,Entire rental unit,2,,1.0,$468.00,True
1032892,2378744,120.0,Grandview-Woodland,Private room,221,Private room in home,2,1.0,1.0,$120.00,False
1113551,5231060,780.0,Kitsilano,Entire home/apt,54,Entire home,8,4.0,2.0,$780.00,True
1118858,70137,75.0,West End,Private room,61,Private room in home,2,1.0,1.0,$75.00,False
1141457,6067405,152.0,Downtown Eastside,Entire home/apt,393,Entire guest suite,4,2.0,1.0,$152.00,False
1178149,6165412,117.0,Hastings-Sunrise,Entire home/apt,101,Entire guest suite,2,1.0,1.0,$117.00,False
1187929,6495937,196.0,Kensington-Cedar Cottage,Entire home/apt,140,Entire home,4,2.0,2.0,$196.00,False
1214617,6630357,188.0,Grandview-Woodland,Entire home/apt,279,Entire guest suite,4,2.0,1.0,$188.00,False
1229506,1742728,516.0,Grandview-Woodland,Entire home/apt,20,Entire home,6,3.0,2.5,$516.00,True
1229714,1200456,322.0,Downtown,Entire home/apt,3,Entire rental unit,4,1.0,1.0,$322.00,False
1273760,6033,223.0,Downtown,Private room,703,Room in boutique hotel,4,1.0,1.0,$223.00,False
1301620,7077434,150.0,Grandview-Woodland,Entire home/apt,240,Entire guest suite,4,0.0,1.0,$150.00,False
1343519,70137,75.0,West End,Private room,73,Private room in home,2,1.0,1.0,$75.00,False
1365609,7336501,440.0,West End,Entire home/apt,228,Entire condo,2,1.0,1.0,$440.00,True
1445664,10025,158.0,Hastings-Sunrise,Entire home/apt,7,Entire home,4,2.0,1.0,$158.00,False
1507975,51695,82.0,Riley Park,Private room,426,Private room in home,2,1.0,1.0,$82.00,False
1604919,8550324,160.0,West End,Entire home/apt,126,Entire rental unit,4,2.0,2.0,$160.00,False
1623556,8633501,108.0,Riley Park,Entire home/apt,393,Entire home,4,2.0,1.0,$108.00,False
1657214,8784861,250.0,Downtown Eastside,Entire home/apt,8,Entire loft,2,1.0,1.5,$250.00,False
1692124,61804583,184.0,Downtown Eastside,Entire home/apt,34,Entire condo,2,1.0,1.0,$184.00,False
1703616,8993938,188.0,Kitsilano,Entire home/apt,5,Entire rental unit,4,1.0,1.0,$188.00,False
1717967,9057463,252.0,Riley Park,Entire home/apt,411,Entire rental unit,4,2.0,1.0,$252.00,False
1733307,9131888,204.0,Downtown,Entire home/apt,220,Entire condo,5,1.0,1.0,$204.00,False
1768817,9041076,100.0,Riley Park,Entire home/apt,75,Entire guest suite,2,1.0,1.0,$100.00,False
1830733,9575419,225.0,Downtown Eastside,Entire home/apt,288,Entire guest suite,2,1.0,1.0,$225.00,False
1850984,1007186,200.0,Strathcona,Entire home/apt,57,Entire rental unit,4,2.0,1.0,$200.00,False
1995592,10285482,110.0,Kitsilano,Private room,392,Private room in home,4,2.0,1.0,$110.00,False
2011559,9372276,927.0,Kitsilano,Entire home/apt,49,Entire home,6,4.0,3.0,$927.00,True
2041582,1728615,583.0,Kitsilano,Entire home/apt,258,Entire rental unit,4,2.0,1.0,$583.00,True
2042431,9582918,120.0,Downtown,Entire home/apt,142,Entire rental unit,3,1.0,1.0,$120.00,False
2056676,7338933,110.0,Downtown,Entire home/apt,95,Entire rental unit,4,1.0,1.0,$110.00,False
2092610,1172047,111.0,Mount Pleasant,Entire home/apt,49,Entire condo,2,1.0,1.0,$111.00,False
2163742,5656886,76.0,Kensington-Cedar Cottage,Private room,169,Private room in condo,2,1.0,1.0,$76.00,False
2183209,11132986,201.0,Kitsilano,Entire home/apt,139,Entire rental unit,2,1.0,1.0,$201.00,False
2198419,11214436,140.0,Downtown,Entire home/apt,142,Entire rental unit,3,2.0,1.0,$140.00,False
2216062,11304608,100.0,West Point Grey,Entire home/apt,79,Entire rental unit,4,2.0,1.0,$100.00,False
2365994,12014048,150.0,West End,Entire home/apt,95,Entire rental unit,2,0.0,1.0,$150.00,False
2384083,12177673,205.0,Mount Pleasant,Entire home/apt,0,Entire home,4,3.0,2.0,$205.00,False
2468591,8999638,135.0,Downtown,Entire home/apt,11,Entire condo,2,1.0,1.0,$135.00,False
2472791,2385551,421.0,Kitsilano,Entire home/apt,29,Entire rental unit,3,1.0,1.0,$421.00,False
2532975,988889,175.0,Hastings-Sunrise,Entire home/apt,56,Entire rental unit,4,2.0,1.0,$175.00,False
2576878,4217281,90.0,Fairview,Entire home/apt,9,Entire guest suite,2,1.0,1.0,$90.00,False
2592307,13270979,159.0,South Cambie,Entire home/apt,862,Entire guest suite,2,1.0,1.0,$159.00,False
